self-play次数,loss,entropy
3,3.921922206878662,2.314582586288452
4,4.344132423400879,2.1473755836486816
5,4.587462425231934,2.92063570022583
6,3.7436509132385254,2.487710952758789
7,3.842324733734131,2.663595676422119
8,3.7817611694335938,2.7503843307495117
9,3.6534271240234375,2.673429489135742
10,3.546018123626709,2.713189125061035
11,3.387112617492676,2.548797130584717
12,3.3166089057922363,2.5507233142852783
13,3.2648181915283203,2.5677223205566406
14,3.2118821144104004,2.624654769897461
15,3.200404644012451,2.510780096054077
16,3.0817031860351562,2.4426045417785645
17,3.005074977874756,2.3827250003814697
18,2.9968647956848145,2.5103602409362793
19,3.0814576148986816,2.5064327716827393
20,3.042809247970581,2.5029797554016113
21,2.9918534755706787,2.474583387374878
22,2.904125928878784,2.4350392818450928
23,2.9072248935699463,2.491347074508667
24,2.901944398880005,2.4637091159820557
25,2.9266791343688965,2.4806900024414062
26,2.855451822280884,2.412048101425171
27,2.8863766193389893,2.4176416397094727
28,2.905320882797241,2.43084454536438
29,2.807450771331787,2.3814406394958496
30,2.858330726623535,2.3329293727874756
31,3.0594482421875,2.415849447250366
32,3.0377695560455322,2.5074753761291504
33,2.969210624694824,2.3350093364715576
34,2.9982635974884033,2.365638017654419
35,2.865579605102539,2.391704797744751
36,3.024296522140503,2.429121255874634
37,2.904200553894043,2.4146463871002197
38,2.87316632270813,2.437878370285034
39,2.768277883529663,2.2858150005340576
40,2.7985358238220215,2.421739339828491
41,2.7771220207214355,2.2870688438415527
42,2.8228461742401123,2.312559127807617
43,2.755908727645874,2.285460948944092
44,2.7662386894226074,2.331439733505249
45,2.854421615600586,2.3703839778900146
46,2.7898130416870117,2.3927724361419678
47,2.751934051513672,2.3259360790252686
48,2.7840585708618164,2.2672715187072754
49,2.741011381149292,2.2883927822113037
50,2.6818442344665527,2.325983762741089
51,2.7695770263671875,2.360349655151367
52,2.6428658962249756,2.267488479614258
53,2.6591763496398926,2.2604563236236572
54,2.7741243839263916,2.3571219444274902
55,2.7082104682922363,2.2782115936279297
56,2.648271322250366,2.1871516704559326
57,2.654003381729126,2.200983762741089
58,2.6514759063720703,2.1964926719665527
59,2.6386518478393555,2.264845371246338
60,2.790975332260132,2.3499765396118164
61,2.8230032920837402,2.37492299079895
62,2.6890029907226562,2.302799701690674
63,2.757220506668091,2.2934727668762207
64,2.7252094745635986,2.2272160053253174
65,2.722517251968384,2.3237133026123047
66,2.755640983581543,2.356269598007202
67,2.820254325866699,2.434068441390991
68,2.6985297203063965,2.298208236694336
69,2.666781425476074,2.2579476833343506
70,2.7346301078796387,2.267071008682251
71,2.7837274074554443,2.2737908363342285
72,2.6917972564697266,2.235996961593628
73,2.7152087688446045,2.2616686820983887
74,2.6764228343963623,2.184431791305542
75,2.7944717407226562,2.2596449851989746
76,2.619957447052002,2.216399908065796
77,2.804070472717285,2.2212467193603516
78,2.5390777587890625,2.1440320014953613
79,2.6052396297454834,2.166163444519043
80,2.7194299697875977,2.1679158210754395
81,2.775935173034668,2.3088631629943848
82,2.671964645385742,2.2330827713012695
83,2.6922528743743896,2.20151686668396
84,2.7507755756378174,2.2176246643066406
85,2.8160362243652344,2.343285083770752
86,2.7943129539489746,2.3599414825439453
87,2.9239614009857178,2.356778621673584
88,2.7909739017486572,2.3209269046783447
89,2.8505520820617676,2.338782548904419
90,2.742259979248047,2.2837202548980713
91,2.7433547973632812,2.289681911468506
92,2.939652442932129,2.373197555541992
93,2.860581398010254,2.3379054069519043
94,2.800748348236084,2.2837297916412354
95,2.946747064590454,2.3548178672790527
96,2.8710274696350098,2.375816583633423
97,2.869900703430176,2.2750723361968994
98,2.955477237701416,2.3383610248565674
99,2.8550758361816406,2.298717498779297
100,2.813077449798584,2.3512396812438965
101,2.850821018218994,2.33475923538208
102,2.8137876987457275,2.3018555641174316
103,2.8554999828338623,2.330883264541626
104,2.8192498683929443,2.3280837535858154
105,2.8058767318725586,2.2650182247161865
106,2.9406685829162598,2.3621392250061035
107,2.8279030323028564,2.3540525436401367
108,2.818488597869873,2.2990405559539795
109,2.813892364501953,2.3407845497131348
110,2.820960283279419,2.3065671920776367
111,2.91583251953125,2.362941265106201
112,2.793485641479492,2.2745964527130127
113,2.9612739086151123,2.357091188430786
114,2.992105007171631,2.34521484375
115,2.880598783493042,2.286647319793701
116,2.8848721981048584,2.3184540271759033
117,2.9397225379943848,2.346836566925049
118,2.9452500343322754,2.3291242122650146
119,3.066974401473999,2.380481004714966
120,3.0006253719329834,2.378740072250366
121,2.964881420135498,2.3640894889831543
122,2.912696599960327,2.3172783851623535
123,2.833258867263794,2.2685935497283936
124,2.992485523223877,2.3380680084228516
125,2.8812153339385986,2.3014650344848633
126,2.800102710723877,2.31406831741333
127,2.797654151916504,2.306375741958618
128,2.8331551551818848,2.277508020401001
129,2.965334892272949,2.3320255279541016
130,2.862534523010254,2.3098251819610596
131,2.8901615142822266,2.320225954055786
132,2.822835922241211,2.270164728164673
133,2.9550673961639404,2.3038127422332764
134,2.8731689453125,2.242032527923584
135,2.986034870147705,2.277857780456543
