self-play次数,loss,entropy
20,5.117103576660156,4.11818265914917
21,4.854024887084961,4.121626377105713
22,4.559298515319824,4.131800174713135
23,4.489330291748047,4.126194000244141
24,4.256369113922119,4.094648361206055
25,4.2504472732543945,4.08478307723999
26,4.225078582763672,4.012978553771973
27,4.1452836990356445,3.9437530040740967
28,4.188208103179932,3.9337637424468994
29,4.230772972106934,3.9362640380859375
30,4.14690637588501,3.874333620071411
31,4.07390832901001,3.8501088619232178
32,3.971193790435791,3.81127667427063
33,3.9817185401916504,3.8231287002563477
34,3.9299302101135254,3.7759900093078613
35,3.9542524814605713,3.757735013961792
36,3.958949565887451,3.748053789138794
37,3.953357219696045,3.749037742614746
38,3.844688892364502,3.678467035293579
39,3.876136541366577,3.7310423851013184
40,3.7412734031677246,3.6273984909057617
41,3.6768977642059326,3.653595447540283
42,3.7308878898620605,3.584489583969116
43,3.706205368041992,3.6234586238861084
44,3.7342543601989746,3.526846170425415
45,3.7226686477661133,3.557654857635498
46,3.7128868103027344,3.5110976696014404
47,3.690028190612793,3.4671757221221924
48,3.686325788497925,3.4787793159484863
49,3.728048801422119,3.488818883895874
50,3.801356315612793,3.5208754539489746
51,3.8142380714416504,3.507415771484375
52,3.8248579502105713,3.4198551177978516
53,3.74111270904541,3.4104673862457275
54,3.8054141998291016,3.437469244003296
55,3.629521131515503,3.397451639175415
56,3.7094011306762695,3.333083152770996
57,3.679532527923584,3.370208978652954
58,3.817592144012451,3.432690143585205
59,3.683842658996582,3.3836660385131836
60,3.7759552001953125,3.4129910469055176
61,3.6582729816436768,3.3336873054504395
62,3.6888530254364014,3.32863450050354
63,3.701874017715454,3.3603427410125732
64,3.7573583126068115,3.3105058670043945
65,3.6334266662597656,3.3008813858032227
66,3.6366264820098877,3.313615560531616
67,3.7195911407470703,3.275472640991211
68,3.7271101474761963,3.2585792541503906
69,3.823826313018799,3.288935899734497
70,3.6960928440093994,3.299891233444214
71,3.7147350311279297,3.271174192428589
72,3.764338493347168,3.2335119247436523
73,3.845423460006714,3.2279443740844727
74,3.7757809162139893,3.264725685119629
75,3.749267578125,3.252171277999878
76,3.755079746246338,3.294814109802246
77,3.70607852935791,3.2326462268829346
78,3.6236302852630615,3.1982638835906982
79,3.6597824096679688,3.1787350177764893
80,3.630120277404785,3.1587769985198975
81,3.76914119720459,3.2197351455688477
82,3.6972479820251465,3.16522216796875
83,3.8736062049865723,3.214660167694092
84,3.7476272583007812,3.1793394088745117
85,3.677137613296509,3.168504476547241
86,3.8164572715759277,3.18715763092041
87,3.67339825630188,3.11625599861145
88,3.811522960662842,3.1646335124969482
89,3.711747884750366,3.135991096496582
90,3.796525001525879,3.168790817260742
91,3.6920201778411865,3.080061435699463
92,3.7878329753875732,3.121474266052246
93,3.7981042861938477,3.125333786010742
94,3.6834895610809326,3.0574135780334473
95,3.6653199195861816,3.054873466491699
96,3.716674327850342,3.114701509475708
97,3.844413995742798,3.1321704387664795
98,3.7729482650756836,3.039156198501587
99,3.7962491512298584,3.0097129344940186
100,3.641402006149292,3.0419960021972656
101,3.653749942779541,3.003953218460083
102,3.772068977355957,2.9664998054504395
103,3.6650707721710205,3.0436651706695557
104,3.802581310272217,3.0888683795928955
105,3.8705434799194336,3.028740406036377
106,3.7611441612243652,3.034907102584839
107,3.821104049682617,3.053828001022339
108,3.8034868240356445,3.0778284072875977
109,3.712238311767578,3.0019636154174805
110,3.778233528137207,3.059913158416748
111,3.7268643379211426,3.0473663806915283
112,3.8279683589935303,3.130511999130249
113,3.69507098197937,3.027183771133423
114,3.6916310787200928,3.0068953037261963
115,3.6378557682037354,2.9944465160369873
116,3.726391315460205,3.0208818912506104
117,3.5730152130126953,2.9713356494903564
118,3.674525499343872,3.034276008605957
119,3.7905523777008057,3.0783658027648926
120,3.500169038772583,3.0166256427764893
121,3.595979690551758,2.9842259883880615
122,3.627629280090332,2.9947521686553955
123,3.5802083015441895,2.990330934524536
124,3.5900049209594727,2.998809576034546
125,3.611905574798584,2.997056484222412
126,3.5882091522216797,2.9487600326538086
127,3.5534164905548096,3.0260512828826904
128,3.6196444034576416,3.0263733863830566
129,3.5771021842956543,2.963198184967041
130,3.4391045570373535,2.936042070388794
131,3.5190505981445312,2.9881322383880615
132,3.302619218826294,2.9251837730407715
133,3.4408137798309326,2.887824296951294
134,3.4931716918945312,2.9126136302948
135,3.4786782264709473,2.9497156143188477
136,3.4212851524353027,2.9284114837646484
137,3.526536226272583,2.9319915771484375
138,3.544278144836426,2.949824094772339
139,3.4499480724334717,2.918152093887329
140,3.4241721630096436,2.981449842453003
141,3.4728012084960938,2.965312957763672
142,3.4580507278442383,2.929676055908203
143,3.3339548110961914,2.902968645095825
144,3.464297294616699,2.902982711791992
145,3.4748778343200684,2.9492897987365723
146,3.4645562171936035,2.834022283554077
147,3.468008518218994,2.937401533126831
148,3.4714972972869873,2.9397993087768555
149,3.382251739501953,2.90429425239563
150,3.352858781814575,2.874595880508423
151,3.455026149749756,2.947054862976074
152,3.4369707107543945,3.0260958671569824
153,3.372056484222412,2.902806043624878
154,3.383031129837036,2.914424180984497
155,3.4351935386657715,2.9380881786346436
156,3.315035104751587,2.9484829902648926
157,3.4277429580688477,2.911954641342163
158,3.393918991088867,2.9128551483154297
159,3.370753526687622,2.896916627883911
160,3.302828550338745,2.8538827896118164
161,3.3801589012145996,2.8917574882507324
162,3.342052936553955,2.8605809211730957
163,3.323026657104492,2.9372568130493164
164,3.3376805782318115,2.8220438957214355
165,3.268033742904663,2.846355438232422
166,3.3952441215515137,2.8537628650665283
167,3.3962643146514893,2.923083782196045
168,3.2888035774230957,2.856086254119873
169,3.2933731079101562,2.9195215702056885
170,3.31365966796875,2.8302230834960938
171,3.304631471633911,2.9035141468048096
172,3.3248987197875977,2.9012629985809326
173,3.413196563720703,2.885735511779785
174,3.3142170906066895,2.876694440841675
175,3.3587446212768555,2.8775687217712402
176,3.3779680728912354,2.9526865482330322
177,3.3240723609924316,2.8065333366394043
178,3.3152811527252197,2.8869917392730713
179,3.366511106491089,2.8875701427459717
180,3.2803425788879395,2.944965124130249
181,3.2663793563842773,2.8726775646209717
182,3.282844066619873,2.88051700592041
183,3.3702197074890137,2.8613462448120117
184,3.2793924808502197,2.8902106285095215
185,3.3509585857391357,2.8787927627563477
186,3.2602057456970215,2.888639211654663
187,3.282228708267212,2.8857085704803467
188,3.366908311843872,2.908684492111206
189,3.2601325511932373,2.868788242340088
190,3.3137826919555664,2.8615148067474365
191,3.298150062561035,2.869748830795288
192,3.2510855197906494,2.869894504547119
193,3.3391737937927246,2.9459033012390137
194,3.298962116241455,2.8991150856018066
195,3.2684030532836914,2.8497917652130127
196,3.2680904865264893,2.873192548751831
197,3.336150884628296,2.8740625381469727
198,3.2846076488494873,2.9332380294799805
199,3.2285542488098145,2.855167865753174
200,3.210068941116333,2.8800160884857178
201,3.218871593475342,2.8662445545196533
202,3.235734224319458,2.8462274074554443
203,3.274643659591675,2.8875458240509033
204,3.1861555576324463,2.8659121990203857
205,3.2488837242126465,2.86286997795105
206,3.28704833984375,2.883225202560425
207,3.204275608062744,2.7677156925201416
208,3.1022181510925293,2.7379603385925293
209,3.0792181491851807,2.7636826038360596
210,3.189880132675171,2.8100969791412354
211,3.2446532249450684,2.844944953918457
212,3.248566150665283,2.927259683609009
213,3.1937289237976074,2.8873252868652344
214,3.2242369651794434,2.9126994609832764
215,3.2271194458007812,2.8439903259277344
216,3.1970467567443848,2.741316318511963
217,3.1901919841766357,2.7897703647613525
218,3.1981592178344727,2.846445322036743
219,3.4053781032562256,2.8801796436309814
220,3.226844072341919,2.9115304946899414
221,3.300863742828369,2.889853000640869
222,3.2934212684631348,2.820781946182251
223,3.2275168895721436,2.902231216430664
224,3.302492618560791,2.93355393409729
225,3.190770149230957,2.8577818870544434
226,3.2139806747436523,2.8410985469818115
227,3.1696410179138184,2.851278781890869
228,3.2201695442199707,2.822477340698242
229,3.2431275844573975,2.7997782230377197
230,3.195408582687378,2.840299129486084
231,3.2138571739196777,2.866025924682617
232,3.2635867595672607,2.910691499710083
233,3.140235424041748,2.820749521255493
234,3.135284423828125,2.7773077487945557
235,3.1332104206085205,2.7992148399353027
236,3.1116044521331787,2.837421178817749
237,3.1736888885498047,2.815443754196167
238,3.2256064414978027,2.836317777633667
239,3.1853413581848145,2.8674237728118896
240,3.2281079292297363,2.8895318508148193
241,3.1690783500671387,2.8627448081970215
242,3.219460964202881,2.8207476139068604
243,3.185500383377075,2.8387749195098877
244,3.1981048583984375,2.874091625213623
245,3.1440839767456055,2.830136299133301
246,3.0830912590026855,2.821516275405884
247,3.0933685302734375,2.822723150253296
248,3.1138904094696045,2.775343894958496
249,3.1699798107147217,2.8047492504119873
250,3.1146693229675293,2.7874462604522705
251,3.1298086643218994,2.7787816524505615
252,3.187307357788086,2.874157667160034
253,3.1224141120910645,2.8200523853302
